# PDB Code: 1ua7
# Beta: 100.0
# Mutation Method: Point Mutation
# Embedding Difference Method: None
# Reference File: 1ua7.pdb
# Protected Indices: "[173, 205, 266]"
PDB File,Iteration,Delta E,Emut,Hamming Distance,RMSD_pymol_global,RMSD_pymol_local,RMSD_stef_global,RMSD_stef_local,TM_score_global,TM_score_local,lDDT_global,lDDT_local
msk_1ua7_beta_100.0_seq_0.pdb,10,0.000227928161621,0.0012323061625162,10,0.5522157549858093,0.08491358906030655,0.61414367,0.08491375,,,0.9790061014771998,1.0
msk_1ua7_beta_100.0_seq_1.pdb,20,0.0001023610432941,0.0038968722025553,19,0.7025862336158752,0.11937527358531952,0.80375546,0.1193754,,,0.9726437058445728,1.0
msk_1ua7_beta_100.0_seq_10.pdb,110,-7.152557373046875e-07,0.0702884991963704,96,3.6060566902160645,0.2607972323894501,4.158235,0.26079717,,,0.7616811175337187,1.0
msk_1ua7_beta_100.0_seq_100.pdb,1010,-0.0011566480000814,0.2995495796203613,336,12.944320678710938,0.623529851436615,13.589192,0.62353015,,,0.2936737315350032,0.75
msk_1ua7_beta_100.0_seq_101.pdb,1020,-0.0032463868459066,0.2928066253662109,337,13.335416793823242,0.6562786102294922,13.860503,0.65627867,,,0.2956005138086063,0.9166666666666666
msk_1ua7_beta_100.0_seq_102.pdb,1030,-0.0017834504445394,0.3036095301310221,339,13.156397819519043,0.7215366959571838,13.918536,0.72153705,,,0.28544476557482334,0.75
msk_1ua7_beta_100.0_seq_103.pdb,1040,0.0011965433756511,0.3043592770894369,340,13.213057518005371,0.7067996859550476,13.9730625,0.7067998,,,0.28568561335902376,0.75
msk_1ua7_beta_100.0_seq_104.pdb,1050,0.0006796518961589,0.304190476735433,341,13.031204223632812,0.6805422902107239,13.541785,0.68054223,,,0.2939948619139371,0.75
msk_1ua7_beta_100.0_seq_105.pdb,1060,-0.0020467440287272,0.3017169634501139,342,12.849454879760742,0.5311834812164307,13.069085,0.5311833,,,0.30045761078998073,1.0
msk_1ua7_beta_100.0_seq_106.pdb,1070,0.0026681423187255,0.3053185145060221,344,13.02673625946045,0.5213605165481567,13.59178,0.52136064,,,0.3016217084136159,0.9166666666666666
msk_1ua7_beta_100.0_seq_107.pdb,1080,-0.0005944569905599,0.308184544245402,343,13.524152755737305,0.6284469366073608,14.324043,0.628447,,,0.2881944444444444,0.9166666666666666
msk_1ua7_beta_100.0_seq_108.pdb,1090,0.0182788372039794,0.3271648089090982,344,13.06235408782959,0.7381963729858398,14.300007,0.73819613,,,0.29684489402697495,0.8333333333333333
msk_1ua7_beta_100.0_seq_109.pdb,1100,-0.0004312197367349,0.3201285203297933,348,12.835112571716309,0.6219459176063538,13.786274,0.62194586,,,0.2901011560693642,0.9166666666666666
msk_1ua7_beta_100.0_seq_11.pdb,120,0.0015661716461181,0.0739521185557047,105,2.416106939315796,0.30665338039398193,2.7964456,0.30665326,,,0.7877528901734104,1.0
msk_1ua7_beta_100.0_seq_110.pdb,1110,0.0020119349161783,0.3275885581970215,349,13.298795700073242,0.7005713582038879,14.321964,0.70057124,,,0.28456165703275527,0.8333333333333333
msk_1ua7_beta_100.0_seq_111.pdb,1120,0.0050862232844034,0.3528755108515421,350,13.386194229125977,0.8235965967178345,15.119372,0.82359666,,,0.2902817919075144,0.8333333333333333
msk_1ua7_beta_100.0_seq_112.pdb,1130,-0.0048785209655761,0.3300580978393554,351,16.483367919921875,10.66102409362793,19.197794,10.661024,,,0.2296885035324342,0.3333333333333333
msk_1ua7_beta_100.0_seq_113.pdb,1140,0.0003399054209392,0.3245695432027181,353,24.62813377380371,15.469551086425781,32.678112,15.469552,,,0.18689788053949905,0.0
msk_1ua7_beta_100.0_seq_114.pdb,1150,0.0012510617574056,0.3434687455495199,354,23.371015548706055,12.434221267700195,25.043297,12.434221,,,0.18370664739884396,0.0
msk_1ua7_beta_100.0_seq_115.pdb,1160,0.0013968149820964,0.3343687852223714,354,16.41067123413086,1.2415103912353516,16.635855,1.2415104,,,0.24524325626204238,0.6666666666666666
msk_1ua7_beta_100.0_seq_116.pdb,1170,-0.0018122990926107,0.320657730102539,352,23.25873374938965,20.69515037536621,32.35655,20.69515,,,0.18218127809890816,0.0
msk_1ua7_beta_100.0_seq_117.pdb,1180,0.0005042552947998,0.3192340532938639,353,24.842687606811523,11.230443954467773,29.143896,11.230444,,,0.19647157996146436,0.08333333333333333
msk_1ua7_beta_100.0_seq_118.pdb,1190,0.000933806101481,0.3218235969543457,352,22.815868377685547,14.935687065124512,27.386824,14.935688,,,0.19354126525369297,0.0
msk_1ua7_beta_100.0_seq_119.pdb,1200,-0.0008052984873453,0.3184994061787923,353,22.53248405456543,13.196287155151367,27.67476,13.196287,,,0.18507145150931278,0.0
msk_1ua7_beta_100.0_seq_12.pdb,130,-0.0007416407267252,0.0813010533650716,111,3.590148448944092,0.3024618923664093,4.1865826,0.3024617,,,0.7831767822736031,1.0
msk_1ua7_beta_100.0_seq_120.pdb,1210,-0.0003430048624674,0.3179345925649007,355,24.845853805541992,11.521803855895996,27.307632,11.521804,,,0.18605491329479767,0.0
msk_1ua7_beta_100.0_seq_121.pdb,1220,0.0220230023066202,0.355222741762797,356,23.71504783630371,12.379520416259766,31.16278,12.37952,,,0.18358622350674375,0.0
msk_1ua7_beta_100.0_seq_122.pdb,1230,0.0359455744425456,0.3694802125295003,355,24.027565002441406,11.396756172180176,29.364828,11.396756,,,0.18304431599229287,0.0
msk_1ua7_beta_100.0_seq_123.pdb,1240,8.956591288244997e-05,0.3299998442331949,355,22.97978973388672,19.672250747680664,29.964882,19.67225,,,0.1792911046885035,0.0
msk_1ua7_beta_100.0_seq_124.pdb,1250,0.0006844202677408,0.3328390121459961,356,24.140079498291016,15.430086135864258,32.999245,15.430086,,,0.1833654463712267,0.0
msk_1ua7_beta_100.0_seq_125.pdb,1260,0.0009440581003825,0.3332262833913167,357,22.96762466430664,16.65831756591797,33.86165,16.658318,,,0.18005378933847144,0.0
msk_1ua7_beta_100.0_seq_126.pdb,1270,0.0008035500844318,0.3242725531260172,358,23.6524600982666,18.12505531311035,33.855183,18.125057,,,0.183766859344894,0.0
msk_1ua7_beta_100.0_seq_127.pdb,1280,0.0008606910705566,0.3279407024383545,360,25.620586395263672,14.7989501953125,33.504498,14.79895,,,0.17850834938985227,0.0
msk_1ua7_beta_100.0_seq_128.pdb,1290,-4.553794860839844e-05,0.3293054103851318,360,22.35936737060547,16.126605987548828,32.9524,16.126606,,,0.1821612074502248,0.0
msk_1ua7_beta_100.0_seq_129.pdb,1300,0.0019880930582683,0.3303650220235189,362,25.28156280517578,17.516088485717773,35.817574,17.516088,,,0.1790903982016699,0.0
msk_1ua7_beta_100.0_seq_13.pdb,140,-0.0026615460713703,0.0793298085530599,118,3.9931108951568604,0.28675752878189087,4.6315904,0.28675765,,,0.7418111753371869,1.0
msk_1ua7_beta_100.0_seq_130.pdb,1310,0.0021337668100993,0.3327720959981283,363,24.114482879638672,15.840629577636719,32.63977,15.840631,,,0.18770070648683368,0.0
msk_1ua7_beta_100.0_seq_131.pdb,1320,-0.0004900296529133,0.3365581830342611,364,24.023141860961914,16.11785316467285,33.623566,16.117853,,,0.1811576750160565,0.0
